Scheme Code,Scheme Name,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,109.2852,10-Oct-2025
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,INF209K01YM2,-,117.6397,10-Oct-2025
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,INF209K01YO8,-,104.8328,10-Oct-2025
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209K01LX6,INF209KA11Z3,153.3665,10-Oct-2025
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,INF209K01LU2,-,113.3044,10-Oct-2025
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,INF209K01LN7,-,102.6884,10-Oct-2025
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,INF209K01LR8,-,113.6791,10-Oct-2025
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,INF209K01LS6,-,103.8346,10-Oct-2025
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,-,373.3919,10-Oct-2025
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,-,560.5121,10-Oct-2025
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,-,387.899,10-Oct-2025
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,INF846K01NF8,-,1532.8272,14-Jun-2017
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,-,INF846K01CU0,1039.1241,10-Oct-2025
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,-,2770.1387,10-Oct-2025
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CT2,INF846K01CS4,1037.7255,10-Oct-2025
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CV8,INF846K01CW6,1039.2054,10-Oct-2025
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,INF846K01NG6,-,1289.4075,18-May-2015
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,-,INF846K01CC8,1039.1078,10-Oct-2025
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,-,2684.2687,10-Oct-2025
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CF1,INF846K01CG9,1037.5977,10-Oct-2025
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CD6,INF846K01CE4,1039.1713,10-Oct-2025
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,INF0QA701649,INF0QA701631,11.0507,10-Oct-2025
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,INF0QA701615,INF0QA701623,11.7282,10-Oct-2025
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,-,11.6056,10-Oct-2025
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,INF0QA701565,INF0QA701573,11.6056,10-Oct-2025
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,-,11.7282,10-Oct-2025
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701599,INF0QA701581,10.9764,10-Oct-2025
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,INF194K019M8,-,12.5472,10-Oct-2025
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,-,INF194KA1JD3,10.4746,10-Oct-2025
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,-,INF194K010N5,10.4548,10-Oct-2025
121279,Bandhan Banking and PSU Fund - Direct Growth,INF194K015G8,-,25.7833,10-Oct-2025
121281,Bandhan Banking and PSU Fund - Direct IDCW,INF194K016G6,INF194K017G4,13.5627,10-Oct-2025
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,-,INF194K011N3,10.4621,10-Oct-2025
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,INF194K018M0,-,10.9497,10-Oct-2025
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,INF194K015M6,-,11.5316,10-Oct-2025
